Company Name,Country,Location & Zone,Description
MR. ENGINEERS INDUSTRIES,IN,,
EURO CONTAINERS,IN,,"WE MANUFECTURE BLOW MOULDED CONTAINERS RANGING FROM 15 LTRS TO 120 LTRS OPEN TOP AND NARROW MOUTH FOR PACAGING OF API, PHARAMA, CHEMICALS. WE ARE APPROVED VENDERS TO ALL MAJOR PHARMA COMPANIES IN INDIA. WE ALSO MANUFECTURE ANTISTATIC LINER BAGS , MU..."
SHREE BHAGWATI MACHTECH INDIA PVT LTD,IN,,
Deepali United Manufacturing Pvt. Ltd,IN,,
Ravel Hiteks Pvt. Ltd.,IN,,
Micron HVAC Pvt. Ltd.,IN,,
Kabira Clean Technologies LLP,IN,,
Linhardt Private Limited,IN,,
Labman Scientific Instruments Pvt. Ltd.,IN,,
Fine Pharma Pack Llp,IN,,
CellTricks Biotech Pvt. Ltd,IN,,
Meridian Medicare Ltd,IN,,
Tooba Pharmaceuticals Pvt Ltd,IN,,"Tooba Pharmaceuticals Private Limited (TPPL) is a WHO-GMP Certified manufacturer of API Bulk Drugs and Intermediates, with state-of-the-art manufacturing facility.TPPL retains its strong roots in R&D to explore and develop generics using newer techn..."
Sharva International,IN,,
Curefox Healthcare Pvt Ltd,IN,,"Curefox Healthcare Pvt. Ltd. is a WHO-GMP certified, EU GMP compliant small-volume parenteral manufacturing company based in Ahmedabad, Gujarat, India. We specialize in the production of liquid ampoules, vials, and lyophilized injectable formulation..."
Ceph Lifescience Pvt Ltd,IN,,
Akron Pharma Inc,US,,
Abhisheik Formulations Pvt Ltd,IN,,
Shiv Plast Industries Pvt. Ltd,IN,,
Shibuya Corporation,JP,"Visit us at stand RH.G62 , subevent P-MEC India 2025",
Rivms Clean Air India Pvt. Ltd.,IN,,
Oxford Lab Fine Chem LLP,IN,,
OPI Group Of Companies,IN,,
La Renon Healthcare Private Limited,IN,,
Kwalitex Healthcare Pvt. Ltd.,IN,,
Kiron Food Processing Technologies,IN,"Visit us at stand RH.G76 , subevent P-MEC India 2025",
Kejariwal Industries,IN,"Visit us at stand RH.C41 , subevent P-MEC India 2025",
Jashmine Unitech Pvt. Ltd.,IN,,
I Cube Nanotec India LLP,IN,,
Horster Lifescience Pvt Ltd,IN,,
EquiNext Engineering Technologies Private Limited,IN,"Visit us at stand RH.A31 , subevent P-MEC India 2025",
Enicar Pharmaceuticals Pvt Ltd,IN,"Visit us at stand 3.G24 , subevent CPHI India 2025","· Enicar Pharmaceuticals Pvt Ltd is a WHO GMP certified pharmaceutical manufacturer with nearly 30 years of experience. Specializing in the export of non-sterile oral liquids, ointments, and external preparations, the company has a strong presence ..."
Dover India Private Limited,IN,,
Conveline Systems Private Limited,IN,"Visit us at stand RH.A58 , subevent P-MEC India 2025",
Camfil India Private Limited,IN,,"From the very outset, Camfil has been at the forefront of developing clean air solutions, continuously innovating to meet the needs of our customers and the environment – today and tomorrow."
BDR Pharmaceuticals International Pvt Ltd,AE,,
Aircare Projects Limited,IN,,
CHAMUNDA PHARMA MACHINERY PVT LTD,IN,,
Jagat Industries,IN,"Visit us at stand RH.A01 , subevent P-MEC India 2025",
Doyo Remedies Pvt Ltd,IN,,
Square Life Technologies LLP,IN,,"Square Life Technologies LLP is a young, Gujarat-based Isolator and clean room equipment manufacturer. With a skilled team and leadership experienced in containment engineering, we offer a broad range of contamination control products aimed at enhancing safety and affordability in the pharmaceutical and life-sciences industry."
Relco Pharma Chem Pvt Ltd,IN,,
Crane Process Flow Technologies India Private Limited,IN,"Visit us at stand RH.K72 , subevent P-MEC India 2025",
Canberra Chemicals,IN,,"Canberra Chemicals, one of India’s oldest manufacturers of pharma-grade phosphates, celebrates 50 years of excellence. With two state-of-the-art facilities, we uphold the highest quality standards aligned with new Schedule M, including GLP, GMP, FDA, ISO, Halal, and Kosher. Trusted by leading global pharmaceutical companies, ..."
Shell Spark,IN,,
